"eprintid","rev_number","eprint_status","userid","importid","source","dir","datestamp","lastmod","status_changed","type","succeeds","commentary","metadata_visibility","contact_email","latitude","longitude","relation_type","relation_uri","item_issues_id","item_issues_type","item_issues_description","item_issues_timestamp","item_issues_status","item_issues_reported_by","item_issues_resolved_by","item_issues_comment","item_issues_count","sword_depositor","sword_slug","creators_name.family","creators_name.given","creators_name.lineage","creators_name.honourific","creators_nim","creators_id","contributors_name.family","contributors_name.given","contributors_name.lineage","contributors_name.honourific","corp_creators","title","ispublished","subjects","divisions","full_text_status","monograph_type","pres_type","keywords","note","abstract","date","date_type","series","publication","volume","number","publisher","place_of_pub","pagerange","pages","event_title","event_location","event_dates","event_type","id_number","patent_applicant","institution","department","thesis_type","thesis_name","refereed","isbn","issn","book_title","editors_name.family","editors_name.given","editors_name.lineage","editors_name.honourific","editors_id","official_url","related_url_url","related_url_type","referencetext","funders","projects","output_media","num_pieces","composition_type","data_type","pedagogic_type","completion_time","task_purpose","skill_areas","copyright_holders","learning_level","gscholar_impact","gscholar_cluster","gscholar_datestamp"
"21187","24","archive","12",,,"disk0/00/02/11/87","2023-09-06 07:18:29","2024-01-24 06:54:33","2023-09-06 07:18:29","thesis",,,"show",,,,"","","","","","","","","","",,,,"Chakim","Abdur Rochman","","","17.11.1505","","Baita","Anna","","","Universitas AMIKOM Yogyakarta","ANALISIS SENTIMEN LAYANAN PROVIDER 3 DI TWITTER MENGGUNAKAN METODE NAIVE BAYES CLASSIFIER","pub","000.000.005","if","restricted",,,"Analisis Sentimen, Twitter, Triindonesia, Naïve Bayes Classifier, SMOTE",,,"2023-07-25","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"22371","23","archive","12",,,"disk0/00/02/23/71","2023-11-01 03:16:41","2023-11-01 03:16:41","2023-11-01 03:16:41","thesis",,,"show",,,,"","","","","","","","","","",,,,"Chandra","Alfian Ady","","","18.11.2019","","Kusnawi","Kusnawi","","","Universitas AMIKOM Yogyakarta","ANALISIS SENTIMEN ANIMO MASYARAKAT KABUPATEN KARANGANYAR TERHADAP VAKSINISASI COVID-19 MENGGUNAKAN ALGORITMA SVM","pub","000.000.004","if","restricted",,,"Analisis sentimen, Vaksin, Covid, SVM",,"Virus Covid-19 merupakan keluarga besar virus yang menyebabkan
penyakit pada manusia dan hewan. Penyakit ini termasuk penyakit menular dan
menyerang pernafasan. Virus ini berasal dari Negara China, lebih tepatnya di Kota
Wuhan, Provinsi Hubei. Hingga pada awal bulan Maret tahun 2020 virus ini masuk
ke Indonesia. Pemerintah berupaya menangani masalah ini dengan melakukan
vaksinisasi Covid-19 secara menyeluruh secara bertahap. 
Dengan adanya vaksinisasi Covid-19 secara menyeluruh di Indonesia, tentu
saja tidak luput dengan adanya berbagai polemik yang terjadi di tengah masyarakat
kita,.  Penyebaran vaksinisasi memang sudah menyeluruh, tetapi tentu saja masih
ada warga masyarakat khususnya Kabupaten Karanganyar sendiri yang masih ragu
untuk melakukan vaksinisasi Covid-19 dengan berbagai pendapat mereka sendiri.
Maka  dari itu, akan dilakukan sebuah analisis sentiment terhadap masyarakat
Kabupaten Karanganyar menggunakan metode SVM (Support Vector Machine)
untuk menemukan sebuah data yang valid tentang bagaimana animo yang sedang
terjadi di masyarakat Kabupaten Karanganyar tentang dilakukannya vaksinisasi
Covid-19. 
Berdasarkan latar belakang tersebut, maka penelitian ini dapat dirumuskan
bahwa bagaimana respon dan opini masyarakat Kabupaten Karanganyar terhadap
vaksinasi COVID-19 menggunakan data yang diambil dari media sosial twitter.
Algoritma yang digunakan pada penelitian ini adalah SVM. Algoritma SVM dipilih
karena mempunyai kelebihan sederhana dan akurasi yang tinggi. Tujuan dari
penelitian ini adalah mengklasifikasikan sentimen positif dan negatif dari twitter
terhadap kata kunci yaitu “Vaksin” dan “Covid”. Hasil penelitian menggunakan
algoritma SVM mendapatkan nilai akurasi dengan metode pengujian confusion
matrix sebesar 64% dan k-fold cross validation sebesar 60,8%..","2023-08-15","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"20151","34","archive","12",,,"disk0/00/02/01/51","2023-07-07 07:09:28","2023-07-12 07:26:42","2023-07-07 07:09:28","thesis",,,"show",,,,"","","","","","","","","","",,,,"Chandra","Ricky","","","18.11.2031","","Purwanto","Ibnu Hadi","","","Universitas AMIKOM Yogyakarta","PERANCANGAN DAN PEMBUATAN FILM ANIMASI PENDEK 2D “AMAN DI INTERNET” MENGGUNAKAN TEKNIK FRAME BY FRAME","pub","696","if","restricted",,,"Animasi 2D, Internet, Frame by Frame, Film",,"Kemajuan era digital saat ini membuat animasi bergerak dinamis mengikuti
perkembangan yang ada, animasi tidak hanya sebagai hiburan dan hanya diminati
anak anak, sekarang animasi dinikmati oleh semua kalangan dan digunakan sebagai
media promosi atau iklan dan media pembelajaran sehingga efektif digunakan
untuk melibatkan siswa dalam proses belajar. 
Teknik yang digunakan dalam proses pembuatan film animasi pendek  2D
“AMAN DI INTERNET” adalah teknik frame by frame. Animasi frame by frame
adalah teknik animasi yang dibuat dengan menyusun serangkaian gambar yang
berbeda, semakin banyak gambar di dalam urutannya maka akan menghasilkan
gambar yang semakin halus. Pembuatan animasi 2D akan dilaksanakan dalam 3
tahapan yaitu, pra-produksi, (konsep, pembuatan karakter, skenario, storyboard),
produksi (key motion, in between, clean up, background, coloring), post-produksi
(compositing, editing, rendering, publish). 
Dalam penelitian ini akan ini akan menghasilkan animasi pendek 2D yang
pembuatannya dilakukan dengan menggunakan teknik frame by frame dan dengan
adanya film animasi pendek ini dapat memberikan hiburan serta referensi kepada
penonton mengenai tindakan phising.","2023-05-22","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"18614","28","archive","12",,,"disk0/00/01/86/14","2023-04-14 03:12:13","2023-07-26 04:33:34","2023-04-14 03:12:13","thesis",,,"show",,,,"","","","","","","","","","",,,,"Cihastuti","Rizeta Engelique","","","19.61.0159","","Mustopa","Ali","","","Universitas AMIKOM Yogyakarta","{JALUR MAGANG} PENGEMBANGAN LEARNING MANAGEMENT SYSTEM DAN
PEMBUATAN KONTEN INTERAKTIF BERBASIS WEB SEBAGAI
MEDIA PEMBELAJARAN BAGI KARYAWAN PT TELKOM
INDONESIA","pub","000.000.003","if","restricted",,,"Telkom Indonesia, Learning Management System, Moodle,
Design Thinking, SCRUM.",,"PT Telkom Indonesia (Persero) Tbk mempunyai unit operasional salah
satunya adalah Telkom Corporate University yang menyediakan proyek Learning
Course Digitization (LCD) dalam bidang School of Digital Enabler, dimana proyek
ini berperan untuk mengembangkan media pembelajaran bagi karyawan Telkom
yang dirasa bisa menunjang produktivitas dalam bekerja. Dalam proyek ini
ditemukan sebuah masalah yaitu kurangnya media pembelejaran LMS yang sesuai
dengan kebutuhan mereka. Dimana dalam tahap emphatize terhadap karyawan
(user) yang biasa melakukan enroll course pada suatu LMS menemukan beberapa
masalah, seperti tidak ada quiz interaktif, tidak ada forum diskusi, tidak ada fitur
mempercepat video pembelajaran, dan juga menginginkan course yang dapat
diakses ulang.
Dengan masalah tersebut maka perlu adanya sebuah platform yang cocok
yang dapat dikembangkan oleh perusahaan sesuai dengan fitur-fitur yang
dibutuhkan. Framework yang digunakan adalah Design Thinking dan metode yang
dipakai dalam proyek ini adalah SCRUM. Dimana framework dan metode ini
memiliki cara kerja untuk pengembangan sebuah produk. Design Thinking
memiliki tahap Emphatize, Define, Ideate, Prototyping, Testing digunakan untuk
menemukan platform apa yang cocok sesuai kebutuhan user. Sedangkan SCRUM
untuk melakukan pengujian akhir proyek yang dilakukan oleh Product
Owner/SME, juga membantu dalam pengembangan produk melalui feedback
maupun evaluasi pada setiap sprint yang dilakukan.
Berdasarkan hasil produk yang sudah dibuat, platform yang cocok untuk
kebutuhan user adalah Moodle dengan versi 3.5.18. Dan didapatkan hasil bahwa
perancangan LMS menggunakan platform Moodle berbasis web tersebut berhasil
melalui hasil putusan dan pengujian oleh Subject Matter Expert (SME).","2023-02-20","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"18614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000.000.005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21185","24","archive","12",,,"disk0/00/02/11/85","2023-09-06 07:14:49","2023-09-06 07:14:49","2023-09-06 07:14:49","thesis",,,"show",,,,"","","","","","","","","","",,,,"Daffa","Muhammad Abyan Zhafran","","","19.11.3252","","Pradnya D","Windha Mega","","","Universitas AMIKOM Yogyakarta","IMPLEMENTASI ALGORITMA KNUTH MORRIS PRATT UNTUK MENDETEKSI INSTALASI PACKAGE TIDAK TERPAKAI PADA PROYEK NODE JS JAVASCRIPT","pub","000.000.005","if","restricted",,,"Algoritma, Pencocokan string, Teknologi, Nodejs, Node package manager",,,"2023-07-25","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"21077","25","archive","12",,,"disk0/00/02/10/77","2023-09-06 01:39:01","2023-09-06 01:39:01","2023-09-06 01:39:01","thesis",,,"show",,,,"","","","","","","","","","",,,,"Daly","Muhammad Irfan","","","18.11.2590","","Sismoro","Heri","","","Universitas AMIKOM Yogyakarta","SISTEM INFORMASI MANAJEMEN INVENTORI PRODUK DI RESTAURANT DAPUKOPI","pub","000.000.003","if","restricted",,,"Sistem informasi, Manajemen Inventory, PHP, MySQL",,"Dapukopi merupakan rumah makanan aceh yang berada di kota
Tanjungpinang, Kepulauan Riau. Perusahaan ini berdiri sejak Tahun 2008 yang
tidak menggunakan sama sekali perhitungan untuk persediaan barang dan sangat
merepotkan sang owner ketika sewaktu waktu barang habis dan harus belanja.
Ketika barang-barang tidak diperhitungan ketersediannya maka akan merugikan
usaha tersebut dan mengecewakan pelanggan disaat pelanggan ini menginginkan
menu yang ingin ia pesan sedangkan bahan bakunya tidak tersedia. 
Sistem manajemen inventory secara online dapat melakukan pengawasan
menjadi lebih baik. Lemahnya pengawasan menjadi dampak buruk bagi
manajemen sehingga pelaporaan penerimaan atau pengeluaran barang dan
pengawasan terhadap penggunaan barang menjadi terhambat. Tujuan penelitian
ini adalah membuat sistem informasi manajemen yang dapat diakses dan diawasi
secara online. Pernacangan sistem menggunakan metode single moving average,
bahasa pemrograman PHp dan mySQL. Metode tersebut dipilih karena metode ini
mampu memprediksikan penjualan dan permintaan terhadap suatu produk dalam
jangka waktu tertentu. 
Hasil penelitian ini menghasilkan bahwa sistem informasi manajemen
inventory yang memberikan informasi stok secara real-time dan laporan
penerimaan dan pengeluaran barang, sehingga proses pelaporan dan pengontrolan
informasi stok dapat informasi stok dapat dilakukan dengan baik.","2023-07-03","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"21077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000.000.005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20737","27","archive","12",,,"disk0/00/02/07/37","2023-07-24 07:07:14","2023-07-24 07:07:14","2023-07-24 07:07:14","thesis",,,"show",,,,"","","","","","","","","","",,,,"Damarjati","Krisna Taruna Hanif","","","18.11.2531","","Prabowo","Donni","","","Universitas AMIKOM Yogyakarta","ANALISIS PERBANDINGAN ALGORITMA KONSENSUS PROOF OF WORK DAN PROOF OF STAKE UNTUK MENAMBAH DATA BARU PADA TEKNOLOGI BLOCKCHAIN","pub","000.000.005","if","restricted",,,"Algoritma Konsensus, Blockchain, Proof of Work, Proof of Stake",,"Algoritma consensus merupakan suatu mekanisme yang digunakan oleh
komputer dan sistem blockchain untuk mengijinkan penambahan data baru di
dalamnya. Sebagian besar metode konsensus yang saat ini digunakan dalam
teknologi blockchain membutuhkan daya komputasi yang tinggi dan oleh  karena
itu tidak cocok digunakan untuk sistem yang memiliki sumberdaya terbatas. Saat
ini penerapan algoritma konsensus di dalam teknologi blockchain sudah mendapat
banyak inovasi supaya transaksi di dalam teknologi blockchain dapat terus
digunakan dengan minimnya sumberdaya sistem yang ada.
Terdapat beberapa algoritma konsensus di dalam teknologi blockchain.
Namun, terkadang pengembang kesulitan memilih algoritma konsensus yang akan
digunakan di dalam teknologi blockchain mereka. Bitcoin atau BTC sebagai
pionir menggunakan algoritma konsensus proof of work dan Binance Coin atau
BNB dengan pengembangan algoritma konsensus proof of stake.Untuk
membandingkan kedua algoritma konsensus tersebut, digunakan perbandingan
dari segitiga masalah utama teknologi blockchain yaitu keamanan, skalabilitas dan
desentralisasi.
Hasil penelitian menunjukkan bahwa dari segi keamanan dan
desentralisasi algoritma konsensus proof of work Bitcoin memiliki nilai yang lebih
unggul. Sedangkan, dari segi skalabilitas Binance Coin dengan algoritma
konsensus proof of stake memiliki skalabilitas yang lebih tinggi. Dengan adanya
penelitian ini diharapkan pengembang dapat memilih algoritma konsensus yang
dapat mengatasi ketiga masalah utama di dalam teknologi blockchain.","2023-03-29","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"21174","24","archive","12",,,"disk0/00/02/11/74","2023-09-06 06:45:39","2023-09-06 06:45:39","2023-09-06 06:45:39","thesis",,,"show",,,,"","","","","","","","","","",,,,"Damaryana","Tri","","","19.11.3205","","Norhikmah","Norhikmah","","","Universitas AMIKOM Yogyakarta","SENTIMEN ANALISIS ANTUSIASME MASYARAKAT TERHADAP PEMILU PRESIDEN 2024 MENGGUNAKAN SUPPORT VECTOR MACHINE","pub","000.000.005","if","restricted",,,"Sentimen analisis, Pemilu presiden 2024, Support Vector Machine (SVM),
SMOTE (Synthetic Minority Over-sampling Technique), Confusion matrix",,,"2023-08-07","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"18495","26","archive","12",,,"disk0/00/01/84/95","2023-04-13 03:22:53","2023-07-27 02:29:43","2023-04-13 03:22:53","thesis",,,"show",,,,"","","","","","","","","","",,,,"Damayanti","Aisyah Astri","","","19.11.3015","","Kurnia","Rakhma Shafrida","","","Universitas AMIKOM Yogyakarta","PENERAPAN METODE GOAL DIRECTED DESIGN DALAM
PERANCANGAN UI/UX APLIKASI HEALING SEBAGAI
PLATFORM REKOMENDASI WISATA","pub","000.000.003","if","restricted",,,"Minimum Viable Product (MVP), Goal-Directed Design, UX
Honeycomb, User Interface (UI), User Experience (UX).",,"Salah satu aplikasi yang masih dalam tahap pengembangan oleh CV Trisya Media Teknologi adalah Minimum Viable Product (MVP) aplikasi Healing yang merupakan platform untuk membantu pengguna merencanakan liburan dengan memberikan rekomendasi wisata kepada pengguna. Berdasarkan hasil evaluasi kepada 7 (tujuh) pengguna didapatkan bahwa MVP aplikasi Healing yang
berbentuk Typeform memiliki beberapa kekurangan pada desain antarmuka,
copywriting, dan keterbatasan informasi. Berdasarkan permasalahan tersebut,
kemudian dilakukan perancangan aplikasi menjadi platform mobile menggunakan
metode Goal-Directed Design yang memiliki 6 (enam) tahapan penelitian
meliputi research, modeling, requirement definition, design framework, dan
design support. Sebanyak 20 orang partisipan menilai pengalaman mereka
menggunakan prototype aplikasi Healing berdasarkan aspek-aspek pada UX
Honeycomb menggunakan kuesioner yang diberikan. Hasil penelitian
menunjukkan bahwa rata-rata keseluruhan pengalaman pengguna menggunakan
aplikasi Healing adalah 3,97 yang berada pada predikat Netral bahwa aplikasi
Healing menerapkan aspek-aspek pada UX Honeycomb. Selain itu, pengguna juga
memberikan umpan balik positif terhadap hasil desain antarmuka aplikasi
Healing. Walaupun masih diperlukan perbaikan dan peningkatan agar dapat
menerapkan aspek-aspek pada user interface dan user experience secara lebih
baik.","2023-02-20","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"20158","38","archive","12",,,"disk0/00/02/01/58","2023-07-07 07:41:43","2023-07-13 07:53:51","2023-07-07 07:41:43","thesis",,,"show",,,,"","","","","","","","","","",,,,"Damayanti","Amalia","","","16.11.0591","","Seniwati","Erni","","","Universitas AMIKOM Yogyakarta","ANALISIS DAN PERANCANGAN WEBSITE KALARGA (KALKULATOR KELUARGA) DENGAN METODE WDLC","pub","000.000.005","if","restricted",,,"Perencanaan dana, WDLC, Web, Javascript",,"Pendidikan adalah salah satu hak warga negara Indonesia. Dengan ilmu dan
gelar yang didapat selama masa pendidikan, masyarakat dapat meningkatkan taraf
hidup karena kesempatan bekerja semakin besar. Dari gaji yang diterima selama
bekerja, masyarakat dapat memenuhi kebutuhan hidup. Semakin tercukupi
kebutuhan hidup, tingkat kesejahteraan semakin meningkat. Bagi masyarakat yang
sudah memasuki usia pensiun akan mendapatkan dana pensiun dari institusi tempat
dia dahulu bekerja. Namun, tidak semua lapisan masyarakat mampu untuk
mengemban pendidikan dan mendapatkan pekerjaan sebagai pegawai suatu
institusi. Freelancer/pekerja lepas mengalami trend peningkatan beberapa tahun
terakhir. Bagi pekerja lepas yang tidak mendapat pensiun dari institusi manapun,
harus mengatur sendiri keuangan agar gaji yang diterima bisa ditabung untuk dana
pensiun. Adanya inflasi memengaruhi kesehatan finansial masyarakat. Diperlukan
perencanaan keuangan yang matang agar inflasi tidak memberikan dampak besar
kepada masyarakat dalam menjalani kehidupan sehari-hari.
Penelitian ini akan memanfaatkan website Kalarga yang akan dibuat
menggunakan metode WDLC (Web Development Life cycle). Dimulai dari mencari
informasi yang relevan untuk pembuatan website, menyusun daftar rincian yang
digunakan untuk merancang, menerapkan rancangan menjadi sebuah website,
hingga testing dan launching agar bisa digunakan pengguna.
Hasil penelitian nantinya akan membantu masyarakat dalam merencanakan
keuangan untuk dana pendidikan dan dana pensiun. Selain itu bisa menjadi alat
simulasi sebagai pembelajaran dalam bagaimana mengelola keuangan hanya
dengan bantuan gawai dan internet sehingga bisa dijangkau semua kalangan.","2023-04-03","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"22564","24","archive","12",,,"disk0/00/02/25/64","2023-11-03 01:41:03","2023-11-03 01:41:03","2023-11-03 01:41:03","thesis",,,"show",,,,"","","","","","","","","","",,,,"Darmawan","Briga","","","19.11.2831","","Laksito","Arif Dwi","","","Universitas AMIKOM Yogyakarta","ANALISIS PERBANDINGAN EKSTRAKSI FITUR TEKS PADA SENTIMEN ANALISIS KENAIKAN HARGA BBM","pub","000.000.004","if","restricted",,,"Analisis Sentimen, SVM, TF-IDF, BoW, FastText",,,"2023-07-24","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"20202","22","archive","12",,,"disk0/00/02/02/02","2023-07-08 03:47:57","2023-07-08 03:47:57","2023-07-08 03:47:57","thesis",,,"show",,,,"","","","","","","","","","",,,,"Davian","Mikail","","","16.61.0095","","Lukman","Lukman","","","Universitas AMIKOM Yogyakarta","ANALISIS PENGARUH OVERCLOCKING PROCESSOR AMD RYZEN
1700X PADA RENDERING VIDEO MENGGUNAKAN ADOBE PREMIERE PRO","pub","000.000.000A","if","restricted",,,"Overclocking, Processor Amd Ryzen 1700x, Rendering Video, Adobe Premiere
Pro",,"Di era digital sekarang, komputer menjadi kebutuhan utama manusia dalam membantu
pekerjaannya. Diiringi dengan cepatnya perkembangan teknologi membuat sebuah komputer
kewalahan untuk mengimbangi aplikasi yang semakin baru, salah satunya dalam proses
rendering video. Rendering sebuah video di Adobe Premiere Pro yang beresolusi tinggi dengan
banyak effect tentunya menambah durasi rendering video tersebut. 
Dari banyaknya Hardware komputer, Prosesor menjadi salah satu yang memegang peran
penting dalam proses rendering video. Tanpa perlu mengupgrade dengan mengganti sebuah
Hardware yang mahal, overclocking prosesor bisa menjadi solusi dalam meningkatkan sebuah
performa komputer tanpa mengeluarkan biaya. Overclocking dapat dilakukan melalui UEFI
atau on-the-fly pada Windows 10 menggunakan AMD Ryzen Master. Dalam penelitian ini
penulis menggunakan prosesor AMD Ryzen 1700x. 
Sebelum prosesor yang telah atau sebelum dioverclock diuji render pada Adobe Premiere
Pro akan terlebih dahulu ditest menggunakan Cinebench R20, dimana Cinebench telah menjadi
standar global untuk menguji prosesor. Setelah diuji dengan Cinebench R20, maka akan
diteruskan uji rendering pada Adobe Premiere Pro dan akan dihitung jumlah waktu render nya.
Setelah diuji maka data dari test sebelum dan sesudah dioverclock akan menjadi acuan penulis
dalam melihat peningkatan performa dari prosesor.","2023-03-01","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"19942","31","archive","12",,,"disk0/00/01/99/42","2023-06-17 04:40:16","2023-06-23 02:47:11","2023-06-17 04:40:16","thesis",,,"show",,,,"","","","","","","","","","",,,,"Despian","Muhammad Rifqi","","","18.61.0147","","Santoso","Joko Dwi","","","Universitas AMIKOM Yogyakarta","ANALISIS KARTU TANDA PENDUDUK ELEKTRONIK MENGGUNAKAN RFID UNTUK IMPLEMENTASI DALAM PEMILIHAN UMUM","pub","000.000.005","if","restricted",,,"ktp elektronik, rfid, aplikasi, pandemi",,"Pandemi datang tanpa peringatan, menghasilkan banyak kegagapan dalam
masa awal ia melanda. Banyak rencana dan beragam proyek harus ditunda hingga
ditinggalkan demi menyelamatkan banyak nyawa yang dilanda. Tak terkecuali
kemajuan teknologi yang seharusnya mampu kita nikmati sekarang. Terkhusus
Kartu Tanda Penduduk Elektronik yang sejak tahun 2011 dengan membanggakan
banyak fitur yang ada. Namun hingga kini, fitur yang telah disediakan tidak mampu
untuk digunakan secara optimal. Masih banyak proses administrasi mengharuskan
masyarakat untuk menyalin secara fisik kartunya. 
Kartu Tanda Penduduk menyimpan sebuah kepingan elektronik yang tidak
hanya menyimpan informasi yang tertulis pada kartu namun juga menyimpan
beragam informasi lainnya, serta informasi ini dapat diperoleh dengan memindai
kepingan elektronik sebelumnya menggunakan teknologi Radio Frequency
Identifier, RFID. Temuan ini seharusnya semakin memudahkan pengguna dan
pemilik dalam beragam administrasi, sebagai contoh Pemilihan Umum, yang
bahkan dapat dilakukan dari rumah masing – masing. 
Belajar dari Pandemi yang telah menghasilkan sebuah aplikasi
PeduliLindungi yang dibayangkan berpotensi menjadi aplikasi wajib untuk seluruh
rakyat Indonesia, menjadikan kita untuk Kembali menoleh kepada peralatan yang
telah disiapkan sebelumnya, untuk digunakan sebagaimana mestinya.","2023-03-21","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"21265","23","archive","12",,,"disk0/00/02/12/65","2023-09-07 04:56:36","2023-09-07 04:56:36","2023-09-07 04:56:36","thesis",,,"show",,,,"","","","","","","","","","",,,,"Devi","Yesica Jacinda Asmara","","","18.11.1853","","Kusnawi","Kusnawi","","","Universitas AMIKOM Yogyakarta","VIDEO 2D IKLAN LAYANAN MASYARAKAT PEMBERIAN IMUNISASI BALITA PADA MASA PANDEMI DI PUSKESMAS TIRTOMOYO 1 MENGGUNAKAN TEKNIK FRAME BY FRAME","pub","696","if","restricted",,,"Video iklan layanan masyarakat, Imunisasi dasar, Dua dimensi, Adobe Animate",,"Iklan layanan masyarakat adalah iklan yang menyajikan pesan-pesan sosial yang
bertujuan untuk membangkitkan kepedulian masyarakat terhadap sejumlah
masalah yang harus mereka hadapi. Dengan berbagai jenis iklan layanan
masyarakat diharapkan informasi yang terdapat di dalam iklan tersebut dapat
dengan mudah dipahami oleh masyarakat luas. Imunisasi merupakan salah satu
program layanan kesehatan masyarakat yang terbukti paling cost effective yang
telah dilaksanakan di Indonesia sejak tahun 1956. Cakupan Imunisasi dasar di Asia
Tenggara masih tergolong rendah karena disebabkan oleh banyak faktor
diantaranya pendidikan, pengetahuan, umur, paritas dan minat. Dari sisi ekonomi,
upaya pencegahan penyakit akan jauh lebih hemat, apabila dibandingkan dengan
upaya pengobatan. Biaya yang dikeluarkan untuk program imunisasi juga jauh lebih
rendah dibandingkan total potensi biaya yang harus dikeluarkan bila masyarakat
terkena penyakit yang dapat dicegah dengan imunisasi (PD3I). Animasi dua
dimensi merupakan sebuah hasil karya yang menggabungkan antara seni dengan
teknologi informasi. Perkembangan dunia multimedia sangat pesat serta
menghasilkan banyak inspirasi bagi para desainer ataupun artist untuk
mengembangkan diri dalam menghadapi persaingan ketat di industri kreatif. Frame
by Frame frame by frame adalah teknik animasi yang disusun dari banyak
rangkaian gambar yang berbeda. Pada animasi frame by frame, setiap perubahan
gerakan atau bentuk sebuah objek diletakkan pada frame secara berurutan.","2023-08-16","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
"22174","25","archive","12",,,"disk0/00/02/21/74","2023-10-30 03:19:37","2023-10-30 03:19:37","2023-10-30 03:19:37","thesis",,,"show",,,,"","","","","","","","","","",,,,"Dharmawan","Muhammad Rizky","","","18.11.2178","","Andrianni","Ria","","","Universitas AMIKOM Yogyakarta","PERANCANGAN DAN PEMBUATAN SISTEM KEAMANAN KAMAR KOS BERBASIS INTERNET OF THINGS","pub","000.000.003","if","restricted",,,"IoT, Keamanan, Kamar kos, ESP8266, PIR",,"Seiring berkembangnya teknologi, masih banyak hal – hal yang dapat
mengancam keamanan pada rumah, khususnya kamar kos. Hal – hal tersebut salah
satunya yaitu kemalingan dan kebakaran. Permasalahan ini berawal dari kurangnya
pengawasan dari pemilik kamar kos, yang pada umumnya sang pemilik kamar
sering meninggalkan kamarnya tanpa adanya pengawasan. Pada saat itulah bahaya
– bahaya ini dapat mengancam keamanan. Maka dari itu diperlukannya sistem
keamanan berbasis internet of things (IoT) yang dapat dipantau dari jarak jauh serta
mendeteksi adanya pergerakan manusia maupun asap yang dapat menjadi cikal
bakal api yang dapat melahap kamar kos tersebut. Pada penelitian kali ini
NodeMCU ESP8266 dapat digunakan sebagai mikrokontroler atau otak dari sistem
ini. Dengan sensor passife infra-red (PIR) yang mana dapat mendeteksi adanya
pergerakan manusia dengan menangkap suhu tubuh pada manusia, sensor asap
untuk mendeteksi adanya kepulan asap didalam kamar, serta buzzer yang berfungs i
sebagai alarm peringatan. Sistem ini dapat dipantau jarak jauh menggunaka n
aplikasi Telegram.","2023-08-16","published",,,,,,,,,,,,,,,"Universitas AMIKOM Yogyakarta","Fakultas Ilmu Komputer","bachelor","skripsi",,,,,,,,,"",,"","",,"","",,,,,,,,"","",,,,
